Food_Name,Calories,Protein,Carbs,Fats,Food Category,Source
Hot Tea (Garam Chai),16.14,0.39,2.58,0.53,Indian,Indian
Instant Coffee,23.16,0.64,3.65,0.75,Indian,Indian
Espreso Coffee,51.54,1.75,6.62,2.14,Indian,Indian
Iced Tea,10.34,0.03,2.7,0.01,Indian,Indian
Raw Mango Drink (Aam Panna),35.92,0.16,9.05,0.03,Indian,Indian
Fruit Punch (With Fresh Juices),36.12,0.14,9.38,0.03,Indian,Indian
Fruit Punch (With Squashes),23.13,0.07,5.99,0.02,Indian,Indian
Lemonade,20.8,0.03,5.48,0.01,Indian,Indian
Lem-O-Gin,21.52,0.08,5.55,0.03,Indian,Indian
Cumin Infused Water (Jeere/Zeere Ka Pani),9.09,0.17,1.86,0.11,Indian,Indian
Coco Pine Cooler,32.75,0.56,5.72,1.0,Indian,Indian
Summer Cooler,22.43,0.37,5.43,0.04,Indian,Indian
Hot Cocoa,90.1,3.36,9.23,4.56,Indian,Indian
Cold Coffee With Ice Cream,67.85,1.57,11.24,2.11,Indian,Indian
Banana Milkshake (Kele Milkshake),65.31,1.84,9.15,2.37,Indian,Indian
Mango Milkshake (Aam Milkshake),56.9,1.73,7.23,2.35,Indian,Indian
Pineapple Milkshake (Ananas Milkshake),55.72,1.66,7.62,2.23,Indian,Indian
Orange Milkshake (Narangi Milkshake),57.42,1.86,7.11,2.52,Indian,Indian
Egg Nog,97.14,4.78,8.15,5.11,Indian,Indian
Sweet Lassi (Meethi Lassi),35.66,1.29,6.51,0.68,Indian,Indian
Lassi (Salted),18.84,1.35,1.86,0.72,Indian,Indian
Cheese And Chilli Sandwich,218.11,6.8,27.4,9.78,Indian,Indian
Egg Sandwich (Ande Ka Sandwich),285.96,8.69,29.16,15.8,Indian,Indian
Cucumber Sandwich (Kheere Ka Sandwich),188.6,4.8,25.77,8.0,Indian,Indian
Cheese And Pineapple Sandwich (Cheese Aur Ananas Ka Sandwich),257.71,8.2,29.1,12.8,Indian,Indian
Cheese And Tomato Sandwich (Cheese Aur Tamatar Ke Sandwich),243.32,7.92,26.92,12.27,Indian,Indian
Chicken Sandwich,253.27,13.12,25.38,11.75,Indian,Indian
Peanut And Tomato Sandwich (Moongfali Aur Tamatar Ka Sandwich),291.43,9.53,28.54,16.14,Indian,Indian
Rainbow Sandwich,272.75,7.75,34.26,12.54,Indian,Indian
Club Sandwich,235.32,7.31,18.51,15.12,Indian,Indian
Vegetarian Club Sandwich,198.33,5.45,19.68,11.33,Indian,Indian
Pin Wheel Sandwich,311.52,8.77,14.0,24.93,Indian,Indian
Carrot Apple Sandwich (Gajar Aur Seb Ka Sandwich),214.11,5.3,29.04,9.12,Indian,Indian
Salami Sandwich,255.59,8.7,21.54,15.51,Indian,Indian
Vegetable And Mayonnaise Sandwich,244.26,4.47,23.2,15.4,Indian,Indian
Egg And Tomato Sandwich (Ande Aur Tamatar Ka Sandwich),222.11,7.66,25.9,10.51,Indian,Indian
Sweet Open Sandwich,244.25,4.99,39.24,8.15,Indian,Indian
Mushroom And Cheese Sandwich (Toasted),227.42,7.79,21.01,13.01,Indian,Indian
Cheese And Tomato Sandwich (Toasted) (Cheese Aur Tamatar Ke Sandwich (Toasted)),224.58,6.82,21.42,12.95,Indian,Indian
Pea Potato Sandwich (Toasted) (Matar Aloo Ka Sandwich),164.9,4.6,25.17,5.43,Indian,Indian
Paneer Pea Sandwich (Toasted) (Paneer Matar Ka Sandwich),249.56,12.4,24.05,11.98,Indian,Indian
Chicken Sandwich (Toasted),167.37,12.08,18.82,5.32,Indian,Indian
Pea Keema Sandwich (Toasted) (Matar Aur Keema Ka Sandwich),171.78,11.06,20.26,5.61,Indian,Indian
Classic Club Sandwich,200.83,6.74,18.49,11.56,Indian,Indian
Sesame Toast,495.19,1.9,11.15,49.38,Indian,Indian
Cracked Wheat Porridge (Meetha Daliya),81.57,2.64,8.87,4.08,Indian,Indian
Semolina Porridge (Suji/Rava Daliya),100.89,3.75,12.39,4.08,Indian,Indian
Oatmeal Porridge,72.85,2.6,8.77,3.22,Indian,Indian
Cornflakes With Milk,117.33,3.59,14.95,5.12,Indian,Indian
Rice Flakes (Chiwda/Aval),112.44,3.62,15.57,3.99,Indian,Indian
Wheat Flakes,112.44,3.62,15.57,3.99,Indian,Indian
Murmura (Puffed Rice),113.32,3.62,15.67,4.04,Indian,Indian
Puffed Wheat (Murmure/Moori),113.32,3.62,15.67,4.04,Indian,Indian
Boiled Egg (Ubla Anda),45.35,4.43,0.12,3.04,Indian,Indian
Fried Egg,223.67,11.59,0.31,19.62,Indian,Indian
Poached Egg,123.87,11.98,0.37,8.19,Indian,Indian
Scrambled Egg (Ande Ki Bhurji),155.97,10.29,1.35,12.21,Indian,Indian
Baked Egg,218.85,11.88,15.42,12.65,Indian,Indian
Plain Omelette/Omlet,272.41,9.66,0.64,25.74,Indian,Indian
Stuffed Egg Omelette/Omlet,203.51,8.6,2.3,17.77,Indian,Indian
Pancake,203.36,5.68,20.49,10.82,Indian,Indian
Keema Pancake,176.27,9.01,9.56,11.25,Indian,Indian
Vegetable Pancake,125.18,3.87,12.24,6.57,Indian,Indian
Jam And Fruit Pancake,162.02,3.79,20.73,7.01,Indian,Indian
Khoa And Coconut Pancake,271.98,6.98,27.32,15.29,Indian,Indian
Brown Stock,21.32,1.95,0.25,1.38,Indian,Indian
Vegetable Stock,17.6,0.3,0.96,1.38,Indian,Indian
Chicken Stock,29.88,3.69,0.37,1.51,Indian,Indian
Clear Tomato Soup (Tamatar Ka Soup),80.07,4.79,3.45,12.22,Indian,Indian
Lentil Soup,31.17,9.65,3.94,11.68,Indian,Indian
Chicken Consomme (Clear Chicken Soup),47.94,11.47,1.19,12.02,Indian,Indian
Cream Of Tomato Soup,97.81,4.61,3.93,13.12,Indian,Indian
Cream Of Green Peas Soup,127.84,7.13,6.75,14.78,Indian,Indian
Cream Of Spinach Soup,100.54,5.21,3.45,13.31,Indian,Indian
Cream Of Mixed Vegetable Soup,59.65,6.84,4.93,9.05,Indian,Indian
Cream Of Mushroom Soup,117.28,6.64,3.74,15.5,Indian,Indian
Chicken Sweet Corn Soup,28.32,14.48,1.63,12.59,Indian,Indian
Minestrone Soup,42.66,9.3,3.71,11.09,Indian,Indian
Egg Drop Soup,26.64,12.93,1.1,13.52,Indian,Indian
Chinese Cabbage And Meat Ball Soup,484.31,5.21,1.43,56.57,Indian,Indian
French Onion Soup,55.61,11.41,4.28,14.39,Indian,Indian
Hot And Sour Soup,31.51,3.12,1.78,1.31,Indian,Indian
Talaumein Soup,35.63,10.12,4.17,12.78,Indian,Indian
Cold Cucumber Soup (Thanda Kheere Ka Soup),48.03,2.99,4.58,1.99,Indian,Indian
Cold Summer Garden Soup,49.19,8.57,2.65,14.08,Indian,Indian
Chapati/Roti,202.31,5.88,35.65,3.56,Indian,Indian
Plain Parantha/Paratha,298.3,5.06,30.69,16.86,Indian,Indian
Potato Parantha/Paratha (Aloo Ka Parantha/Paratha),205.04,3.7,23.92,10.22,Indian,Indian
Radish Parantha/Paratha (Mooli Ka Parantha/Paratha),183.52,3.3,20.54,9.53,Indian,Indian
Cauliflower Parantha/Paratha (Phoolgobhi Ka Parantha/Paratha),178.07,3.73,18.84,9.47,Indian,Indian
Dal Parantha/Paratha,268.24,6.78,30.03,13.05,Indian,Indian
Sprouted Moong Parantha/Paratha,228.59,4.29,24.31,12.43,Indian,Indian
Pea Parantha/Paratha (Matar Ka Parantha/Paratha),190.73,5.59,21.51,8.8,Indian,Indian
Keema Parantha/Paratha,238.09,9.41,18.36,13.91,Indian,Indian
Paneer Parantha/Paratha,262.97,7.98,24.33,14.62,Indian,Indian
Besan And Spinach Parantha/Paratha (Besan Aur Palak Ka Parantha/Paratha),216.49,5.54,21.39,12.09,Indian,Indian
Poori,737.63,1.35,8.22,77.61,Indian,Indian
Spinach Poori (Palak Poori),684.25,1.42,7.76,71.86,Indian,Indian
Methi Poori,710.02,1.45,7.98,74.6,Indian,Indian
Dal Stuffed Poori,785.16,2.08,10.14,81.69,Indian,Indian
Potato Stuffed Poori (Aloo Ki Poori),776.74,1.52,9.4,81.35,Indian,Indian
Tandoori Parantha/Paratha,295.37,5.08,30.74,16.51,Indian,Indian
Boiled Rice (Uble Chawal),117.19,2.6,25.72,0.18,Indian,Indian
Plain Pulao,140.21,2.34,21.82,4.62,Indian,Indian
Mixed Vegetable Pulao,113.05,2.72,17.49,3.33,Indian,Indian
Mushroom Pulao,124.29,2.52,19.02,4.03,Indian,Indian
Sprouted Moong Pulao,112.97,2.19,17.49,3.61,Indian,Indian
Paneer Pulao,581.91,1.98,8.76,59.81,Indian,Indian
Peanut Pulao,193.28,5.32,21.18,9.51,Indian,Indian
Navratan Pulao,261.71,6.2,36.98,9.45,Indian,Indian
Green Chickpeas Pulao (Choliya Pulao/Hare Chane Ka Pulao),173.43,4.88,27.57,4.82,Indian,Indian
Mutton Biryani/Biriyani,190.76,7.38,22.5,7.72,Indian,Indian
Vegetable Biryani/Biriyani,174.61,3.16,18.56,9.51,Indian,Indian
"Lemon Rice (Pulihora, Elumichai Sadam, Chitranna)",176.3,4.26,21.62,7.88,Indian,Indian
Sweet Rice (Meethe Chawal),215.41,2.1,42.59,4.57,Indian,Indian
Curd Rice (Dahi Bhaat/Dahi Chawal/ Perugu Annam/Daddojanam/Thayir Saadam),195.74,5.75,32.93,4.32,Indian,Indian
Tamarind Rice (Chintapandu Pulihora/Puliyodharai/Puli Sadam/Huli Anna),373.04,7.45,65.08,8.53,Indian,Indian
Spanish Rice,164.24,4.19,31.1,2.23,Indian,Indian
Chinese Fried Rice,120.58,4.05,13.4,5.43,Indian,Indian
Macroni Cheese Pie,170.63,5.85,21.1,7.48,Indian,Indian
Vegetable Chowmein,129.71,3.07,15.44,6.36,Indian,Indian
Chicken Chowmein,151.33,6.33,13.3,8.23,Indian,Indian
Cheese Noodle Ring,133.67,6.22,13.96,6.12,Indian,Indian
Spaghetti And Cheese Balls In Tomato Sauce,508.32,2.41,7.82,52.08,Indian,Indian
Penne Platter,177.4,5.04,20.87,8.71,Indian,Indian
Pasta Hot Pot,125.17,5.84,11.6,6.47,Indian,Indian
Chicken Lasagne,187.49,10.45,13.9,10.36,Indian,Indian
Fettuccine With Spinach Sauce,129.21,3.1,12.19,7.83,Indian,Indian
Naan,286.45,8.05,51.75,4.99,Indian,Indian
Bhatura,793.2,1.63,10.73,82.56,Indian,Indian
Idli,137.54,4.64,28.18,0.33,Indian,Indian
Masala Dosa,164.58,3.29,19.57,7.84,Indian,Indian
Semolina Dosa (Suji/Rava Dosa),227.05,7.3,32.84,7.12,Indian,Indian
Onion Tomato Uttapam,462.02,1.91,11.32,45.3,Indian,Indian
Paneer Kaathi Roll,285.94,6.92,20.1,19.55,Indian,Indian
Makki Ki Roti,263.97,3.49,24.19,16.85,Indian,Indian
Washed Moong Dal (Dhuli Moong Ki Dal),50.0,2.68,5.91,1.68,Indian,Indian
Washed Urad Dal (Dhuli Urad Ki Dal),61.32,2.51,5.84,2.98,Indian,Indian
Split Bengal Gram With Bottle Gourd (Channa Dal With Ghiya/Lauki),73.25,2.79,7.1,3.6,Indian,Indian
Dry Washed Urad,124.71,6.85,15.66,3.5,Indian,Indian
Mixed Dal,61.93,2.51,5.79,3.1,Indian,Indian
Whole Moong (Moong Ki Dal),53.7,2.25,5.22,2.56,Indian,Indian
Whole Masoor (Masoor Ki Dal),54.05,2.28,5.37,2.52,Indian,Indian
Whole Moth (Moth Ki Dal),55.0,2.01,5.74,2.62,Indian,Indian
Whole Urad (Urad Ki Dal),53.8,2.21,5.05,2.62,Indian,Indian
Moti Mahal Dal (Urad Rajmah Mix Dal),103.13,3.93,8.74,5.66,Indian,Indian
Black Channa Curry/Bengal Gram Curry (Kale Chane Ki Curry),140.68,5.67,14.11,6.61,Indian,Indian
Chickpeas Curry (Safed Channa Curry),163.43,6.1,19.98,6.84,Indian,Indian
Lobia Curry,148.99,6.06,17.88,5.62,Indian,Indian
Soyabean Curry,163.28,10.43,6.76,10.19,Indian,Indian
Kidney Bean Curry (Rajmah Curry),143.73,5.95,16.38,5.77,Indian,Indian
Sambar,96.92,3.35,10.57,4.38,Indian,Indian
Besan Kadhi With Pakodies,403.35,1.64,3.56,42.59,Indian,Indian
Khatta Channa,202.57,6.3,21.14,10.56,Indian,Indian
Sprouted Moong Dal Chat,32.47,1.35,6.01,0.32,Indian,Indian
Potato Cauliflower (Aloo Gobhi),106.18,1.9,5.99,8.13,Indian,Indian
Potato Capsicum (Shimla Mirch Aloo),125.53,1.41,8.72,9.33,Indian,Indian
Cabbage And Peas (Pattagobhi Aur Matar),63.88,3.24,6.24,2.64,Indian,Indian
Carrot And Fenugreek Leaves (Gajar Methi),61.92,2.1,4.17,3.81,Indian,Indian
Potato Fenugreek (Aloo Methi),135.15,2.25,8.47,10.04,Indian,Indian
Brinjal Bhartha (Baingan Ka Bhartha),65.12,1.38,4.4,4.48,Indian,Indian
Dry Potato (Sookhe Aloo),103.15,1.62,14.38,4.18,Indian,Indian
Beans With Coconut (Nariyal Aur Sem/Phali; Beans Thoran),131.63,2.62,4.39,11.39,Indian,Indian
Cauliflower With Coconut (Nariyal Ke Saath Phoolgobhi),132.11,2.64,3.99,11.56,Indian,Indian
Carrot And Cabbage With Coconut (Nariyal Ke Saath Pattagobhi Aur Gajar),106.61,1.82,4.99,8.62,Indian,Indian
Raw Turnip With Coconut,132.15,1.8,5.78,11.47,Indian,Indian
Raw Papaya With Coconut (Papaya Thoran),132.75,1.54,5.58,11.42,Indian,Indian
Stuffed Okra (Bharwa Bhindi),94.34,2.08,3.85,7.66,Indian,Indian
Stuffed Round Gourd (Bharwa Tinde),72.8,1.1,4.02,5.75,Indian,Indian
Stuffed Capsicum (Bharwa Shimla Mirch),90.94,1.34,8.26,5.7,Indian,Indian
Stuffed Brinjal (Bharwa Baingan),93.0,1.53,3.96,7.73,Indian,Indian
Stuffed Tomatoes (Bharwa Tamatar),93.35,3.28,6.19,6.06,Indian,Indian
Pea Potato Curry (Aloo Matar),100.92,3.48,9.74,5.13,Indian,Indian
Pea Paneer Curry (Matar Paneer),134.83,6.61,9.29,7.75,Indian,Indian
